delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,delivery_id_original
1,delhivery,automobile parts,bike,same day,west,clear,0.9996592844974448,0.947594677584442,8,8,no,delivered,3,1.0,250.99
2,xpressbees,cosmetics,ev van,express,central,cold,0.29301533219761494,0.9563971340839303,2,3,no,delivered,5,0.35425097843067493,250.99
3,shadowfax,groceries,truck,two day,east,rainy,0.9195911413969337,0.5367451381780962,10,16,no,delivered,4,0.8799321975322649,250.99
4,dhl,electronics,ev van,same day,east,cold,0.9066439522998296,0.24605936540429885,6,8,no,delivered,3,0.9049150673509543,250.99
5,dhl,clothing,van,two day,north,foggy,0.862350936967632,0.744114636642784,9,16,no,delivered,4,0.8450537691213289,250.99
6,amazon logistics,documents,ev bike,express,west,rainy,0.1526405451448041,0.6648925281473899,4,2,yes,delayed,3,0.19243484870920535,250.99
7,delhivery,groceries,scooter,same day,central,clear,0.6633730834752982,0.882702149437052,6,8,no,delivered,3,0.7333530160179229,250.99
8,xpressbees,fragile items,van,same day,north,cold,0.3781942078364565,0.8589559877175025,4,8,no,delivered,3,0.45881469815098136,250.99
9,blue dart,clothing,van,same day,south,hot,0.4729131175468484,0.27410440122824975,5,8,no,delivered,5,0.49348493598009485,250.99
10,delhivery,pharmacy,truck,same day,east,foggy,0.14821124361158433,0.5856704196519958,3,8,no,delivered,5,0.2131823413789451,250.99
11,fedex,groceries,scooter,same day,east,cold,0.9867120954003408,0.4376663254861822,5,8,no,delivered,4,0.9996287701687878,250.99
12,ecom express,electronics,truck,two day,east,cold,0.2616695059625213,0.9377686796315249,3,16,no,delivered,5,0.290017677982779,250.99
13,xpressbees,pharmacy,ev van,two day,north,rainy,0.8657580919931857,0.407164790174002,8,16,no,delivered,4,0.8161803378048332,250.99
14,xpressbees,cosmetics,bike,express,east,stormy,0.0524701873935264,0.055066530194472864,6,2,yes,failed,1,0.03865357425494446,250.99
15,xpressbees,automobile parts,ev bike,two day,east,stormy,0.7982964224872232,0.48966223132036846,12,16,no,delivered,3,0.7596370769730025,250.99
16,amazon logistics,furniture,ev van,express,north,hot,0.8030664395229984,0.22517911975435004,8,6,yes,delayed,3,0.77150394013688,250.99
17,fedex,documents,bike,standard,west,stormy,0.25689948892674613,0.0012282497441146352,10,24,no,delivered,5,0.19616926727064488,250.99
18,blue dart,fragile items,ev bike,standard,central,rainy,0.569335604770017,0.9201637666325485,11,24,no,delivered,5,0.582083040456895,250.99
19,amazon logistics,documents,van,same day,north,rainy,0.29437819420783645,0.6761514841351075,4,8,no,delivered,3,0.36136198799104674,250.99
20,fedex,cosmetics,truck,express,north,rainy,0.20579216354344124,0.10972364380757421,7,3,yes,failed,2,0.19024884760007005,250.99
21,fedex,automobile parts,scooter,two day,east,foggy,0.6211243611584327,0.3772773797338792,6,16,no,delivered,4,0.5797669202341206,250.99
22,dhl,electronics,scooter,two day,west,stormy,0.73015332197615,0.27451381780962125,9,16,no,delivered,4,0.6740642418883093,250.99
23,blue dart,automobile parts,scooter,same day,north,cold,0.717206132879046,0.822517911975435,6,8,no,delivered,5,0.7790118129938507,250.99
24,ecom express,clothing,bike,standard,central,clear,0.8453151618398638,0.7007164790174001,8,24,no,delivered,4,0.8246510921027326,250.99
25,amazon logistics,furniture,van,standard,east,foggy,0.719931856899489,0.10235414534288638,7,24,no,delivered,5,0.647890782179823,250.99
26,shadowfax,documents,ev van,two day,north,stormy,0.3809199318568995,0.0,6,16,no,delivered,4,0.31418730334122463,250.99
27,dhl,clothing,ev bike,express,east,foggy,0.9887563884156729,0.8262026612077789,9,7,yes,delayed,3,1.0,250.99
28,amazon logistics,cosmetics,scooter,standard,east,clear,0.9649063032367974,0.9416581371545547,8,24,no,delivered,3,0.9618031438339283,250.99
29,fedex,furniture,truck,express,south,hot,0.45144804088586027,0.9709314227226202,3,4,no,delivered,5,0.5069002165962765,250.99
30,dhl,furniture,bike,two day,east,rainy,0.9805792163543441,0.11156601842374617,13,16,no,delivered,5,0.8976218910314878,250.99
31,fedex,furniture,bike,standard,south,hot,0.9928449744463375,0.389150460593654,9,24,no,delivered,5,0.9357988389731726,250.99
32,ekart,cosmetics,truck,same day,central,rainy,0.7485519591141397,0.1150460593654043,10,8,yes,failed,1,0.7414854606203609,250.99
33,delhivery,automobile parts,scooter,express,south,hot,0.81396933560477,0.9428863868986692,10,6,yes,failed,1,0.8503431110907546,250.99
34,fedex,furniture,ev bike,two day,central,rainy,0.10732538330494037,0.4513817809621289,8,16,no,delivered,5,0.09628332968566083,250.99
35,amazon logistics,clothing,bike,express,central,stormy,0.2664395229982964,0.917911975435005,5,3,yes,delayed,2,0.3252083922664485,250.99
36,delhivery,documents,bike,same day,east,clear,0.11584327086882454,0.45322415557830087,3,8,no,delivered,4,0.16965099191101518,250.99
37,amazon logistics,furniture,ev bike,express,north,rainy,0.14718909710391823,0.08290685772773797,5,2,yes,delayed,2,0.13174078815229037,250.99
38,amazon logistics,electronics,scooter,same day,central,hot,0.7829642248722317,0.3547594677584442,5,8,no,delivered,5,0.797195959124902,250.99
39,ekart,documents,bike,standard,east,rainy,0.19965928449744466,0.9807574206755372,7,24,no,delivered,3,0.23491223335665934,250.99
40,shadowfax,clothing,ev bike,standard,south,foggy,0.37614991482112436,0.8839303991811668,6,24,no,delivered,4,0.3941845344064863,250.99
41,blue dart,automobile parts,ev bike,same day,north,foggy,0.43577512776831345,0.5142272262026611,6,8,no,delivered,5,0.48092193555824875,250.99
42,xpressbees,groceries,ev van,express,south,rainy,0.060647359454855186,0.3256908904810644,3,2,yes,delayed,3,0.07226334130790008,250.99
43,xpressbees,fragile items,truck,standard,west,stormy,0.8684838160136287,0.157625383828045,7,24,no,delivered,5,0.7949904401487208,250.99
44,dhl,furniture,van,two day,east,rainy,0.8528109028960819,0.13101330603889458,9,16,no,delivered,3,0.7774894193642743,250.99
45,delhivery,furniture,ev bike,same day,north,stormy,0.010562180579216356,0.14923234390992834,6,8,no,delivered,4,0.04014994406179304,250.99
46,ecom express,automobile parts,ev bike,standard,west,hot,0.5945485519591142,0.5328556806550665,5,24,no,delivered,4,0.5692272720293611,250.99
47,fedex,cosmetics,truck,standard,south,hot,0.6010221465076662,0.7035823950870009,4,24,no,delivered,3,0.5916858310434537,250.99
48,ecom express,documents,scooter,two day,north,rainy,0.6279386712095401,0.2925281473899693,11,16,no,delivered,4,0.5781924789590887,250.99
49,xpressbees,documents,ev van,express,west,hot,0.2545144804088586,0.9938587512794267,4,3,yes,failed,1,0.32106409849704615,250.99
50,amazon logistics,pharmacy,ev bike,express,west,hot,0.16354344122657583,0.46632548618219033,2,3,no,delivered,4,0.1839120467658504,250.99
51,xpressbees,electronics,ev van,same day,central,stormy,0.07938671209540032,0.5975435005117706,5,8,no,delivered,5,0.14860422527990572,250.99
52,blue dart,clothing,truck,express,north,hot,0.7260647359454855,0.5367451381780962,7,6,yes,delayed,2,0.7276928345746262,250.99
53,dhl,electronics,van,standard,south,foggy,0.4926746166950596,0.7764585465711361,5,24,no,delivered,4,0.4951894963687658,250.99
54,fedex,cosmetics,ev van,same day,south,clear,0.6153321976149915,0.9441146366427839,5,8,no,delivered,4,0.6933413885739281,250.99
55,fedex,groceries,truck,same day,east,stormy,0.5591141396933561,0.8542476970317296,7,8,no,delivered,5,0.631098910564709,250.99
56,delhivery,electronics,ev bike,standard,central,cold,0.661328790459966,0.51525076765609,9,24,no,delivered,5,0.6313071011465314,250.99
57,fedex,cosmetics,ev van,standard,north,foggy,0.709710391822828,0.9471852610030704,7,24,no,delivered,5,0.7186820859551248,250.99
58,blue dart,pharmacy,scooter,same day,west,stormy,0.20681431005110731,0.4171954964176049,6,8,no,delivered,5,0.2530703556649828,250.99
59,xpressbees,cosmetics,scooter,two day,east,hot,0.6919931856899489,0.06550665301944729,3,16,no,delivered,4,0.6177031478155731,250.99
60,xpressbees,clothing,bike,two day,east,cold,0.2722316865417376,0.12569089048106447,3,16,no,delivered,5,0.2226745307189107,250.99
61,ecom express,fragile items,truck,same day,central,foggy,0.01942078364565588,0.9611054247697031,3,8,no,delivered,5,0.12601554715217406,250.99
62,xpressbees,clothing,ev bike,standard,west,rainy,0.8255536626916525,0.9486182190378709,12,24,no,delivered,3,0.8294199576176021,250.99
63,dhl,pharmacy,ev van,express,north,stormy,0.7567291311754685,0.9218014329580347,8,6,yes,delayed,2,0.7936827430566488,250.99
64,ecom express,pharmacy,bike,express,east,hot,0.7577512776831347,0.7563971340839303,7,6,yes,delayed,2,0.7788881998358936,250.99
65,dhl,clothing,bike,two day,west,hot,0.3737649063032368,0.682906857727738,4,16,no,delivered,5,0.37274090447877795,250.99
66,ekart,groceries,ev bike,standard,north,stormy,0.7792163543441227,0.8442169907881267,12,24,no,delivered,4,0.7752253467869556,250.99
67,ecom express,electronics,scooter,express,east,cold,0.28654173764906304,0.4444216990788126,4,3,yes,failed,2,0.2992561350511485,250.99
68,dhl,furniture,van,same day,east,rainy,0.2947189097103918,0.5484135107471853,6,8,no,delivered,4,0.34950813673853315,250.99
69,delhivery,cosmetics,bike,express,north,rainy,0.36388415672913116,0.906243602865916,6,4,yes,delayed,2,0.41713104009672536,250.99
70,fedex,documents,bike,same day,central,cold,0.7281090289608178,0.04831115660184236,6,8,no,delivered,5,0.7156047689175623,250.99
71,amazon logistics,furniture,truck,standard,south,rainy,0.24395229982964226,0.5645854657113613,6,24,no,delivered,3,0.23752112158512145,250.99
72,blue dart,automobile parts,ev bike,two day,south,hot,0.0667802385008518,0.3789150460593654,2,16,no,delivered,5,0.05066356844382484,250.99
73,fedex,documents,ev van,express,north,rainy,0.2551959114139693,0.5568065506653019,8,3,yes,delayed,3,0.28004404792234905,250.99
74,blue dart,documents,van,express,north,hot,0.4589437819420784,0.9662231320368473,8,4,yes,delayed,3,0.5136078569043673,250.99
75,xpressbees,clothing,truck,two day,north,cold,0.3161839863713799,0.7914022517911974,3,16,no,delivered,4,0.3281100485005984,250.99
76,fedex,furniture,ev van,standard,west,cold,0.7243611584327087,0.47615148413510744,11,24,no,delivered,4,0.6877592785988148,250.99
77,ekart,clothing,van,express,south,stormy,0.06984667802385008,0.6843398157625383,7,2,yes,delayed,3,0.11524168454286424,250.99
78,ekart,fragile items,scooter,standard,east,rainy,0.6592844974446338,0.5641760491299898,13,24,no,delivered,4,0.6340200846659048,250.99
79,shadowfax,documents,ev bike,same day,west,foggy,0.310732538330494,0.19140225179119752,2,8,no,delivered,4,0.33075797246315214,250.99
80,xpressbees,pharmacy,bike,express,south,hot,0.17853492333901194,0.4552712384851586,3,3,yes,delayed,2,0.19717118444566523,250.99
